<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,240112,100000,162.5500000,162.8300000,162.5000000,162.6300000,214810
GAZP,5,240112,100500,162.6500000,162.7000000,162.4300000,162.4900000,218280
GAZP,5,240112,101000,162.4900000,162.5000000,162.3100000,162.4200000,174320
GAZP,5,240112,101500,162.4300000,162.4900000,162.3000000,162.4300000,128060
GAZP,5,240112,102000,162.4500000,162.4600000,162.2800000,162.2900000,125240
GAZP,5,240112,102500,162.3000000,162.3700000,162.2000000,162.3700000,228440
GAZP,5,240112,103000,162.3700000,162.5000000,162.3000000,162.5000000,214640
GAZP,5,240112,103500,162.5000000,162.5000000,162.4800000,162.4900000,38410
GAZP,5,240112,104000,162.4900000,162.4900000,162.3200000,162.3200000,87130
GAZP,5,240112,104500,162.3100000,162.4500000,162.2500000,162.3400000,139080
GAZP,5,240112,105000,162.3600000,162.4400000,162.2900000,162.4100000,27570
GAZP,5,240112,105500,162.4100000,162.5000000,162.3700000,162.3800000,102660
GAZP,5,240112,110000,162.3700000,162.5000000,162.3700000,162.4800000,70060
GAZP,5,240112,110500,162.4800000,162.5000000,162.4600000,162.4800000,18360
GAZP,5,240112,111000,162.4900000,162.4900000,162.3900000,162.4600000,39080
GAZP,5,240112,111500,162.4600000,162.5000000,162.4500000,162.4800000,156850
GAZP,5,240112,112000,162.4800000,162.5000000,162.4800000,162.4900000,83300
GAZP,5,240112,112500,162.5000000,162.5000000,162.4900000,162.5000000,52370
GAZP,5,240112,113000,162.4900000,162.5000000,162.4900000,162.5000000,28020
GAZP,5,240112,113500,162.5000000,162.6300000,162.4900000,162.6300000,62910
GAZP,5,240112,114000,162.6200000,162.6900000,162.6200000,162.6500000,54210
GAZP,5,240112,114500,162.6500000,162.6700000,162.6400000,162.6600000,29610
GAZP,5,240112,115000,162.6500000,162.9900000,162.6400000,162.9900000,325840
GAZP,5,240112,115500,162.9800000,163.0000000,162.8600000,162.9000000,189210
GAZP,5,240112,120000,162.9000000,163.0000000,162.8400000,162.9500000,236420
GAZP,5,240112,120500,162.9200000,162.9500000,162.8500000,162.8700000,74430
GAZP,5,240112,121000,162.8600000,162.8700000,162.7900000,162.8000000,79710
GAZP,5,240112,121500,162.8000000,162.8600000,162.7100000,162.8500000,56940
GAZP,5,240112,122000,162.8600000,162.9000000,162.8000000,162.9000000,20580
GAZP,5,240112,122500,162.9000000,162.9000000,162.8500000,162.8500000,61300
GAZP,5,240112,123000,162.8800000,162.9000000,162.8500000,162.8800000,72600
GAZP,5,240112,123500,162.8900000,162.9500000,162.8500000,162.9300000,44000
GAZP,5,240112,124000,162.9200000,162.9300000,162.8500000,162.8800000,68520
GAZP,5,240112,124500,162.8800000,162.8800000,162.8500000,162.8700000,83180
GAZP,5,240112,125000,162.8600000,162.8700000,162.8500000,162.8600000,112180
GAZP,5,240112,125500,162.8600000,162.8700000,162.8500000,162.8600000,71030
GAZP,5,240112,130000,162.8600000,162.8600000,162.8500000,162.8600000,44760
GAZP,5,240112,130500,162.8600000,162.8700000,162.8500000,162.8600000,83730
GAZP,5,240112,131000,162.8600000,162.8600000,162.8500000,162.8500000,91450
GAZP,5,240112,131500,162.8600000,162.8700000,162.8500000,162.8600000,51490
GAZP,5,240112,132000,162.8600000,162.8700000,162.8500000,162.8700000,33440
GAZP,5,240112,132500,162.8600000,162.8700000,162.8500000,162.8600000,33940
GAZP,5,240112,133000,162.8600000,162.8600000,162.8500000,162.8600000,26420
GAZP,5,240112,133500,162.8600000,162.8700000,162.8500000,162.8600000,32640
GAZP,5,240112,134000,162.8600000,163.0000000,162.8500000,162.9800000,516270
GAZP,5,240112,134500,163.0000000,163.1500000,162.9900000,163.1000000,150170
GAZP,5,240112,135000,163.1000000,163.1100000,163.0600000,163.1000000,89850
GAZP,5,240112,135500,163.0900000,163.1300000,163.0600000,163.0600000,103140
GAZP,5,240112,140000,163.0600000,163.0700000,162.9900000,163.0100000,62870
GAZP,5,240112,140500,163.0100000,163.0100000,162.9500000,162.9700000,51770
GAZP,5,240112,141000,162.9800000,163.0300000,162.9800000,163.0200000,48340
GAZP,5,240112,141500,163.0300000,163.0700000,162.8900000,162.9100000,169660
GAZP,5,240112,142000,162.9000000,162.9900000,162.9000000,162.9500000,18940
GAZP,5,240112,142500,162.9500000,163.0000000,162.9200000,162.9700000,48170
GAZP,5,240112,143000,162.9700000,163.0500000,162.9700000,163.0000000,87300
GAZP,5,240112,143500,163.0000000,163.1300000,162.9900000,163.0500000,203090
GAZP,5,240112,144000,163.0500000,163.3500000,163.0300000,163.3300000,258430
GAZP,5,240112,144500,163.3300000,163.3900000,163.2500000,163.2600000,255960
GAZP,5,240112,145000,163.2500000,163.3000000,163.2400000,163.2800000,80540
GAZP,5,240112,145500,163.3000000,163.4000000,163.2600000,163.4000000,141930
GAZP,5,240112,150000,163.4000000,163.4800000,163.3800000,163.4600000,230350
GAZP,5,240112,150500,163.4600000,163.4900000,163.4100000,163.4300000,225890
GAZP,5,240112,151000,163.4400000,163.4900000,163.4200000,163.4800000,135770
GAZP,5,240112,151500,163.4800000,163.4800000,163.4200000,163.4300000,93010
GAZP,5,240112,152000,163.4300000,163.4800000,163.3800000,163.3900000,212700
GAZP,5,240112,152500,163.3900000,163.4000000,163.3200000,163.3300000,80200
GAZP,5,240112,153000,163.3300000,163.3300000,163.1600000,163.2200000,128920
GAZP,5,240112,153500,163.2200000,163.2400000,163.1100000,163.1500000,72410
GAZP,5,240112,154000,163.1600000,163.2900000,163.1300000,163.1400000,56830
GAZP,5,240112,154500,163.1400000,163.2600000,163.1200000,163.2400000,35050
GAZP,5,240112,155000,163.2500000,163.2500000,163.1800000,163.1800000,29770
GAZP,5,240112,155500,163.1800000,163.1800000,163.0900000,163.1300000,85680
GAZP,5,240112,160000,163.1300000,163.2100000,163.1000000,163.1100000,32080
GAZP,5,240112,160500,163.1200000,163.1500000,163.0900000,163.1400000,138090
GAZP,5,240112,161000,163.1500000,163.1500000,163.1000000,163.1200000,38170
GAZP,5,240112,161500,163.1300000,163.1300000,162.9300000,162.9500000,230000
GAZP,5,240112,162000,162.9500000,163.0100000,162.9100000,163.0100000,105070
GAZP,5,240112,162500,163.0500000,163.1200000,163.0100000,163.1100000,37640
GAZP,5,240112,163000,163.1100000,163.1100000,163.0300000,163.0700000,25240
GAZP,5,240112,163500,163.0700000,163.0900000,163.0100000,163.0200000,19480
GAZP,5,240112,164000,163.0300000,163.0500000,163.0100000,163.0400000,15890
GAZP,5,240112,164500,163.0500000,163.2300000,163.0400000,163.1900000,50790
GAZP,5,240112,165000,163.2000000,163.2000000,163.1900000,163.1900000,22360
GAZP,5,240112,165500,163.1900000,163.2400000,163.1900000,163.2300000,99720
GAZP,5,240112,170000,163.2400000,163.4500000,163.2400000,163.4500000,227430
GAZP,5,240112,170500,163.4500000,163.6000000,163.4200000,163.5700000,391120
GAZP,5,240112,171000,163.5600000,163.7800000,163.5600000,163.6400000,520020
GAZP,5,240112,171500,163.6500000,163.7600000,163.5600000,163.5700000,131760
GAZP,5,240112,172000,163.5600000,163.6300000,163.5600000,163.5700000,170700
GAZP,5,240112,172500,163.6000000,163.7100000,163.5200000,163.6200000,160770
GAZP,5,240112,173000,163.6400000,163.7600000,163.6300000,163.7600000,200660
GAZP,5,240112,173500,163.7600000,163.8300000,163.7000000,163.7000000,137290
GAZP,5,240112,174000,163.6900000,163.7900000,163.6000000,163.7100000,104960
GAZP,5,240112,174500,163.7200000,163.8500000,163.6800000,163.7100000,89780
GAZP,5,240112,175000,163.7100000,163.7500000,163.7000000,163.7300000,57700
GAZP,5,240112,175500,163.7300000,163.8700000,163.6600000,163.8200000,164590
GAZP,5,240112,180000,163.8100000,163.9800000,163.8100000,163.9600000,311700
GAZP,5,240112,180500,163.9600000,163.9600000,163.8700000,163.8900000,78010
GAZP,5,240112,181000,163.9000000,163.9000000,163.8500000,163.8600000,41160
GAZP,5,240112,181500,163.8600000,163.9200000,163.8400000,163.9000000,137250
GAZP,5,240112,182000,163.9000000,163.9800000,163.9000000,163.9500000,122270
GAZP,5,240112,182500,163.9500000,163.9500000,163.9000000,163.9000000,50110
GAZP,5,240112,183000,163.9100000,163.9800000,163.9000000,163.9100000,88980
GAZP,5,240112,183500,163.9100000,163.9400000,163.7500000,163.7700000,101460
GAZP,5,240112,184500,163.4300000,163.4300000,163.4300000,163.4300000,401060
GAZP,5,240112,190000,163.5000000,163.5000000,163.5000000,163.5000000,12990
GAZP,5,240112,190500,163.5100000,163.8800000,163.5000000,163.8500000,222110
GAZP,5,240112,191000,163.8500000,163.8800000,163.6400000,163.6900000,89080
GAZP,5,240112,191500,163.6900000,163.7400000,163.5700000,163.6500000,39820
GAZP,5,240112,192000,163.6300000,163.6800000,163.6100000,163.6400000,25760
GAZP,5,240112,192500,163.6500000,163.7000000,163.6200000,163.6500000,22130
GAZP,5,240112,193000,163.6500000,163.7000000,163.6400000,163.6900000,64130
GAZP,5,240112,193500,163.6800000,163.6800000,163.5000000,163.5500000,100700
GAZP,5,240112,194000,163.5500000,163.5800000,163.5100000,163.5500000,23340
GAZP,5,240112,194500,163.5400000,163.6000000,163.5000000,163.5800000,56920
GAZP,5,240112,195000,163.5800000,163.6000000,163.4400000,163.5100000,60230
GAZP,5,240112,195500,163.5100000,163.5200000,163.3500000,163.4600000,99460
GAZP,5,240112,200000,163.3900000,163.5000000,163.3700000,163.4400000,10780
GAZP,5,240112,200500,163.4400000,163.5000000,163.4400000,163.4500000,12630
GAZP,5,240112,201000,163.4500000,163.4700000,163.4100000,163.4500000,33450
GAZP,5,240112,201500,163.4200000,163.5300000,163.4200000,163.5100000,53800
GAZP,5,240112,202000,163.5300000,163.6200000,163.5300000,163.5900000,41310
GAZP,5,240112,202500,163.5900000,163.5900000,163.5100000,163.5500000,19390
GAZP,5,240112,203000,163.5400000,163.5700000,163.5000000,163.5700000,18950
GAZP,5,240112,203500,163.5700000,163.5800000,163.5000000,163.5100000,13480
GAZP,5,240112,204000,163.5200000,163.5200000,163.4000000,163.4400000,32610
GAZP,5,240112,204500,163.4100000,163.5300000,163.2900000,163.3400000,102320
GAZP,5,240112,205000,163.3400000,163.4500000,163.2900000,163.4500000,34010
GAZP,5,240112,205500,163.4400000,163.4400000,163.4000000,163.4300000,12460
GAZP,5,240112,210000,163.4300000,163.4300000,163.3100000,163.3300000,12570
GAZP,5,240112,210500,163.3300000,163.3300000,163.3000000,163.3200000,18450
GAZP,5,240112,211000,163.3200000,163.3300000,163.2500000,163.2500000,39290
GAZP,5,240112,211500,163.2500000,163.3500000,163.2200000,163.3100000,57940
GAZP,5,240112,212000,163.3200000,163.3200000,163.2400000,163.3100000,8250
GAZP,5,240112,212500,163.3000000,163.3000000,163.2300000,163.2800000,12810
GAZP,5,240112,213000,163.2500000,163.3100000,163.2500000,163.3100000,5320
GAZP,5,240112,213500,163.3100000,163.3600000,163.3000000,163.3000000,19390
GAZP,5,240112,214000,163.3200000,163.3500000,163.3000000,163.3100000,60810
GAZP,5,240112,214500,163.3100000,163.3500000,163.3000000,163.3400000,68070
GAZP,5,240112,215000,163.3500000,163.3700000,163.3500000,163.3700000,9540
GAZP,5,240112,215500,163.3600000,163.3700000,163.3400000,163.3400000,8940
GAZP,5,240112,220000,163.3700000,163.4200000,163.3400000,163.4200000,10140
GAZP,5,240112,220500,163.4200000,163.4400000,163.4100000,163.4300000,7900
GAZP,5,240112,221000,163.4400000,163.4400000,163.4200000,163.4200000,4250
GAZP,5,240112,221500,163.4300000,163.4700000,163.4100000,163.4700000,17550
GAZP,5,240112,222000,163.4700000,163.4900000,163.4500000,163.4800000,17410
GAZP,5,240112,222500,163.4800000,163.5000000,163.4800000,163.5000000,56800
GAZP,5,240112,223000,163.5000000,163.5000000,163.4900000,163.5000000,18320
GAZP,5,240112,223500,163.4900000,163.5000000,163.4600000,163.4900000,25570
GAZP,5,240112,224000,163.4900000,163.5500000,163.4900000,163.5100000,7170
GAZP,5,240112,224500,163.5300000,163.5800000,163.5000000,163.5700000,7350
GAZP,5,240112,225000,163.5800000,163.6400000,163.5600000,163.6400000,33970
GAZP,5,240112,225500,163.6300000,163.7600000,163.6300000,163.7000000,45840
GAZP,5,240112,230000,163.7300000,163.7300000,163.7000000,163.7300000,23530
GAZP,5,240112,230500,163.7300000,163.7400000,163.5600000,163.6400000,14410
GAZP,5,240112,231000,163.6400000,163.6900000,163.5400000,163.6000000,31910
GAZP,5,240112,231500,163.6000000,163.6000000,163.3400000,163.5500000,52220
GAZP,5,240112,232000,163.4500000,163.5200000,163.3600000,163.4700000,23970
GAZP,5,240112,232500,163.4600000,163.4700000,163.3500000,163.3900000,29300
GAZP,5,240112,233000,163.3900000,163.4200000,163.3000000,163.4000000,256600
GAZP,5,240112,233500,163.3300000,163.3900000,163.1500000,163.2000000,91450
GAZP,5,240112,234000,163.1900000,163.3400000,163.1600000,163.2500000,23950
GAZP,5,240112,234500,163.3300000,163.4000000,163.2100000,163.3700000,57500
GAZP,5,240115,100000,163.8000000,164.0500000,163.7000000,163.9300000,471390
GAZP,5,240115,100500,163.9200000,163.9400000,163.4200000,163.8300000,439270
GAZP,5,240115,101000,163.8300000,163.9800000,163.7100000,163.9700000,254980
GAZP,5,240115,101500,163.9800000,164.4000000,163.9700000,164.2100000,659630
GAZP,5,240115,102000,164.1900000,164.2900000,164.1600000,164.2300000,203820
GAZP,5,240115,102500,164.2300000,164.2300000,163.9100000,164.0000000,215160
GAZP,5,240115,103000,164.0000000,164.0600000,163.9300000,163.9900000,79570
GAZP,5,240115,103500,163.9800000,164.0000000,163.8700000,163.9900000,141120
GAZP,5,240115,104000,163.9700000,164.0000000,163.7800000,163.8300000,171000
GAZP,5,240115,104500,163.8300000,163.8800000,163.6300000,163.7000000,201010
GAZP,5,240115,105000,163.7400000,163.7400000,163.6500000,163.7100000,37590
GAZP,5,240115,105500,163.7100000,163.7100000,163.5700000,163.6800000,104720
GAZP,5,240115,110000,163.6900000,163.7300000,163.5500000,163.6300000,149890
GAZP,5,240115,110500,163.6800000,163.6800000,163.5700000,163.5900000,111740
GAZP,5,240115,111000,163.5900000,163.6500000,163.5900000,163.6400000,66930
GAZP,5,240115,111500,163.6500000,163.7000000,163.6400000,163.6800000,35740
GAZP,5,240115,112000,163.7000000,163.8400000,163.6900000,163.7900000,83360
GAZP,5,240115,112500,163.7900000,163.8500000,163.7000000,163.7100000,57960
